,NumberOfBedrooms,NumberOfBaths,LotSizeOrArea,TotalAssessedValue,YearBuilt,GarageParkingNumberOfCars,NumberOfPartialBaths,SalesPriceFromAssessment,AVG_ABS_CORRELATION
WirelessCellularPhoneOwner,0.1993,0.1137,0.1637,0.1454,0.1393,0.1598,0.0946,0.1255,0.1427
HouseholdSize,0.1834,0.0972,0.1683,0.1203,0.1597,0.1052,0.071,0.0912,0.1245
VehicleKnownOwnedNumber,0.1282,0.1158,0.1405,0.1226,0.081,0.1206,-0.0139,0.1107,0.1042
NetWorth,0.1654,0.078,0.133,0.0687,0.068,0.1491,0.0979,0.0583,0.1023
Marital_S,-0.2156,-0.126,-0.1635,-0.0428,-0.0396,-0.1507,-0.0551,-0.0095,0.1004
Marital_M,0.1838,0.1173,0.1554,0.0332,0.0332,0.1528,0.0602,-0.002,0.0922
Gardening,0.1296,0.0762,0.1464,0.0501,0.0664,0.1518,0.0601,0.0289,0.0887
HomeImprovement,0.0965,0.04,0.1078,-0.0014,0.1016,0.1523,0.0882,-0.0176,0.0757
OutdoorsGrouping,0.1167,0.0364,0.1472,0.0139,0.0731,0.1089,0.0806,-0.0087,0.0732
NumberOfChildren,0.0654,0.0072,0.0643,0.0925,0.1403,0.0439,0.0599,0.0827,0.0695
OwnerRenter,0.0973,0.0513,0.1142,0.0462,0.0568,0.1084,0.0471,0.0312,0.0691
SingleParent,-0.1146,-0.0907,-0.0725,-0.07,0.017,-0.1004,-0.0242,-0.0495,0.0674
Political,0.0877,0.0654,0.1001,0.0271,0.0689,0.0782,0.0702,0.0144,0.064
HomeImprovementDIY,0.0886,0.0581,0.0867,-0.0388,0.0261,0.0983,0.0033,-0.0663,0.0583
HuntingShooting,0.0744,0.0659,0.1344,-0.005,0.0177,0.0976,0.018,-0.0279,0.0551
Charitable,0.0631,0.0346,0.0972,0.0128,0.0511,0.0724,0.0602,0.0019,0.0492
Marital_A,-0.0493,0.0415,-0.0224,0.0041,-0.0401,-0.0459,-0.0735,0.0099,0.0358
BeautyCosmetics,0.0563,-0.0034,0.0523,-0.029,-0.0078,0.0736,0.0167,-0.042,0.0351
DogOwner,0.0563,-0.0034,0.0523,-0.029,-0.0078,0.0736,0.0167,-0.042,0.0351
TVCable,-0.0684,-0.0308,-0.0703,-0.0427,-0.0184,-0.0123,-0.0136,-0.021,0.0347
AutoWork,0.0466,0.0472,0.0298,-0.0138,-0.0178,0.0794,0.0076,-0.0329,0.0344
Health,0.0594,0.0075,0.0403,-0.0037,0.0179,0.0911,0.0334,-0.0181,0.0339
CampingHiking,0.0473,-0.0198,0.0079,-0.0511,-0.0302,0.0376,0.0145,-0.0623,0.0338
Religious,0.0138,0.0136,0.0467,-0.0301,-0.0638,0.0515,-0.0,-0.039,0.0323
Veteran,0.0416,-0.001,0.0117,-0.0589,-0.0116,0.0283,0.0306,-0.065,0.0311
SelfImprovement,0.0193,-0.0526,-0.0003,0.0386,0.0433,0.0178,0.0334,0.0378,0.0304
Fishing,0.0694,0.0063,0.0663,-0.0136,-0.0011,0.0272,-0.0085,-0.0269,0.0274
EducationOnline,0.0291,0.0406,0.0269,0.0249,0.0317,0.0122,-0.0018,0.0267,0.0242
InvestmentsForeign,0.0013,-0.0387,-0.0179,-0.0078,0.0217,0.0408,0.0606,0.0043,0.0241
MusicCollector,0.0473,0.0037,0.0345,-0.0007,-0.0492,0.0293,0.0158,-0.0098,0.0238
Photography,0.0204,-0.0059,0.0243,-0.0159,-0.0216,0.038,0.0266,-0.0272,0.0225
CreditCardUser,-0.0075,-0.0126,0.0238,-0.0062,0.0325,0.027,0.0538,-0.0138,0.0222
MovieCollector,0.0219,-0.0193,0.0087,-0.0272,0.0108,0.0389,0.023,-0.0263,0.022
CatOwner,0.065,0.0089,0.0254,0.0019,0.0119,0.0499,0.0023,0.0032,0.0211
Marital_B,0.0172,-0.0168,-0.0001,0.0116,0.0381,0.0023,0.0163,0.0098,0.014
GrandChildren,0.0012,0.0158,0.0208,0.0008,-0.0063,0.0431,0.0114,0.0065,0.0132
EnvironmentalIssues,0.0129,-0.0048,0.005,0.0164,0.0002,0.0228,0.0194,0.0095,0.0114
